Models,Id,No_features,ROC,ROC_AUC,F1,Recall,Accuracy,Brier,Importance_type,Best_features
NAIVE BAYES,model_34,6,0.73,0.83,58.0,57.0,81.0,19.0,weight,"WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
NAIVE BAYES,model_1,13,0.73,0.82,58.0,62.0,79.0,21.0,total_gain,"Cloud9am,WindSpeed9am,month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
NAIVE BAYES,model_14,13,0.73,0.82,58.0,62.0,79.0,21.0,total_cover,"month_sin,Cloud9am,Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
NAIVE BAYES,model_27,13,0.73,0.82,58.0,62.0,79.0,21.0,weight,"Cloud9am,Cloud3pm,month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
NAIVE BAYES,model_40,13,0.73,0.82,58.0,62.0,79.0,21.0,gain,"Evaporation,WindSpeed9am,Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
NAIVE BAYES,model_53,13,0.73,0.82,58.0,62.0,79.0,21.0,cover,"month_sin,WindSpeed3pm,WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
NAIVE BAYES,model_2,12,0.73,0.82,58.0,60.0,80.0,20.0,total_gain,"WindSpeed9am,month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
NAIVE BAYES,model_28,12,0.73,0.82,58.0,60.0,80.0,20.0,weight,"Cloud3pm,month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
NAIVE BAYES,model_41,12,0.73,0.82,58.0,61.0,80.0,20.0,gain,"WindSpeed9am,Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
NAIVE BAYES,model_3,11,0.73,0.82,58.0,60.0,80.0,20.0,total_gain,"month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
NAIVE BAYES,model_16,11,0.73,0.82,58.0,60.0,80.0,20.0,total_cover,"Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
NAIVE BAYES,model_42,11,0.73,0.82,58.0,61.0,80.0,20.0,gain,"Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
NAIVE BAYES,model_55,11,0.73,0.82,58.0,62.0,80.0,20.0,cover,"WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
NAIVE BAYES,model_4,10,0.73,0.82,58.0,60.0,80.0,20.0,total_gain,"WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
NAIVE BAYES,model_43,10,0.73,0.82,58.0,59.0,81.0,19.0,gain,"WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
NAIVE BAYES,model_56,10,0.73,0.82,58.0,62.0,80.0,20.0,cover,"Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
