,Models,Id,No_features,ROC,ROC_AUC,F1,Recall,Accuracy,Brier,Importance_type,Best_features
0,KNN,model_3,11,0.71,0.82,57.0,50.0,83.0,17.0,total_gain,"month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
1,KNN,model_42,11,0.71,0.81,57.0,50.0,83.0,17.0,gain,"Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
2,KNN,model_55,11,0.71,0.81,57.0,50.0,83.0,17.0,cover,"WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
3,KNN,model_4,10,0.71,0.81,57.0,50.0,83.0,17.0,total_gain,"WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
4,KNN,model_43,10,0.71,0.81,57.0,50.0,83.0,17.0,gain,"WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
5,KNN,model_56,10,0.71,0.81,57.0,50.0,83.0,17.0,cover,"Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
6,KNN,model_5,9,0.71,0.81,57.0,51.0,83.0,17.0,total_gain,"Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
7,KNN,model_44,9,0.71,0.81,57.0,51.0,83.0,17.0,gain,"Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
8,KNN,model_45,8,0.71,0.81,57.0,51.0,83.0,17.0,gain,"month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
9,KNN,model_1,13,0.71,0.81,56.0,49.0,83.0,17.0,total_gain,"Cloud9am,WindSpeed9am,month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
10,KNN,model_14,13,0.71,0.81,56.0,49.0,83.0,17.0,total_cover,"month_sin,Cloud9am,Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
11,KNN,model_27,13,0.71,0.81,56.0,49.0,83.0,17.0,weight,"Cloud9am,Cloud3pm,month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
12,KNN,model_40,13,0.71,0.81,56.0,49.0,83.0,17.0,gain,"Evaporation,WindSpeed9am,Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
13,KNN,model_53,13,0.71,0.81,56.0,49.0,83.0,17.0,cover,"month_sin,WindSpeed3pm,WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
14,KNN,model_2,12,0.71,0.81,56.0,49.0,83.0,17.0,total_gain,"WindSpeed9am,month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
15,KNN,model_15,12,0.71,0.81,56.0,50.0,83.0,17.0,total_cover,"Cloud9am,Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
16,KNN,model_28,12,0.71,0.81,56.0,49.0,83.0,17.0,weight,"Cloud3pm,month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
17,KNN,model_41,12,0.71,0.81,56.0,50.0,83.0,17.0,gain,"WindSpeed9am,Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
18,KNN,model_54,12,0.71,0.81,56.0,50.0,83.0,17.0,cover,"WindSpeed3pm,WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
19,KNN,model_16,11,0.71,0.81,56.0,49.0,83.0,17.0,total_cover,"Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
20,KNN,model_29,11,0.71,0.81,56.0,49.0,83.0,17.0,weight,"month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
21,KNN,model_17,10,0.71,0.81,56.0,49.0,83.0,17.0,total_cover,"WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
22,KNN,model_30,10,0.71,0.81,56.0,49.0,83.0,17.0,weight,"Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
23,KNN,model_18,9,0.71,0.81,56.0,50.0,83.0,17.0,total_cover,"WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
24,KNN,model_31,9,0.71,0.81,56.0,49.0,83.0,17.0,weight,"WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
25,KNN,model_57,9,0.71,0.81,56.0,50.0,83.0,17.0,cover,"Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
26,KNN,model_6,8,0.71,0.81,56.0,50.0,82.0,18.0,total_gain,"Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
27,KNN,model_19,8,0.71,0.81,56.0,50.0,83.0,17.0,total_cover,"Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
28,KNN,model_32,8,0.71,0.81,56.0,49.0,83.0,17.0,weight,"WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
29,KNN,model_20,7,0.71,0.81,56.0,50.0,83.0,17.0,total_cover,"Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
30,KNN,model_33,7,0.71,0.81,56.0,50.0,83.0,17.0,weight,"Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
31,KNN,model_58,8,0.71,0.8,56.0,49.0,83.0,17.0,cover,"MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
32,KNN,model_7,7,0.71,0.8,56.0,49.0,82.0,18.0,total_gain,"Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
33,KNN,model_46,7,0.71,0.8,56.0,50.0,82.0,18.0,gain,"MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
34,KNN,model_8,6,0.71,0.8,56.0,50.0,82.0,18.0,total_gain,"Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
35,KNN,model_21,6,0.71,0.8,56.0,49.0,82.0,18.0,total_cover,"Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
36,KNN,model_34,6,0.71,0.8,56.0,49.0,82.0,18.0,weight,"WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
37,KNN,model_9,5,0.71,0.79,56.0,49.0,82.0,18.0,total_gain,"MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
38,KNN,model_22,5,0.71,0.79,56.0,49.0,82.0,18.0,total_cover,"WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
39,KNN,model_47,6,0.7,0.8,55.0,49.0,82.0,18.0,gain,"Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
40,KNN,model_59,7,0.7,0.79,55.0,48.0,82.0,18.0,cover,"Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
41,KNN,model_35,5,0.7,0.79,54.0,48.0,82.0,18.0,weight,"Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
42,KNN,model_48,5,0.7,0.79,54.0,48.0,82.0,18.0,gain,"Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
43,KNN,model_10,4,0.7,0.79,54.0,48.0,82.0,18.0,total_gain,"Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
44,KNN,model_60,6,0.7,0.78,54.0,47.0,82.0,18.0,cover,"Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
45,KNN,model_49,4,0.7,0.78,54.0,47.0,82.0,18.0,gain,"Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
46,KNN,model_23,4,0.69,0.79,53.0,46.0,82.0,18.0,total_cover,"MaxTemp,Sunshine,Pressure9am,Humidity3pm"
