Models,Id,No_features,ROC,ROC_AUC,F1,Recall,Accuracy,Brier,Importance_type,Best_features
XGB DART 4,model_1,13,0.73,0.87,60.0,51.0,85.0,15.0,total_gain,"Cloud9am,WindSpeed9am,month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DART 4,model_14,13,0.73,0.87,60.0,51.0,85.0,15.0,total_cover,"month_sin,Cloud9am,Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DART 4,model_27,13,0.73,0.87,60.0,51.0,85.0,15.0,weight,"Cloud9am,Cloud3pm,month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DART 4,model_40,13,0.73,0.87,60.0,51.0,85.0,15.0,gain,"Evaporation,WindSpeed9am,Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DART 4,model_53,13,0.73,0.87,60.0,51.0,85.0,15.0,cover,"month_sin,WindSpeed3pm,WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DART 4,model_2,12,0.73,0.87,60.0,51.0,85.0,15.0,total_gain,"WindSpeed9am,month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DART 4,model_15,12,0.73,0.87,60.0,51.0,85.0,15.0,total_cover,"Cloud9am,Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DART 4,model_28,12,0.73,0.87,60.0,51.0,85.0,15.0,weight,"Cloud3pm,month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DART 4,model_41,12,0.73,0.87,60.0,50.0,85.0,15.0,gain,"WindSpeed9am,Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DART 4,model_54,12,0.73,0.87,60.0,51.0,85.0,15.0,cover,"WindSpeed3pm,WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DART 4,model_3,11,0.73,0.87,60.0,50.0,85.0,15.0,total_gain,"month_sin,WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DART 4,model_16,11,0.73,0.87,60.0,50.0,85.0,15.0,total_cover,"Cloud3pm,WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DART 4,model_29,11,0.73,0.87,60.0,50.0,85.0,15.0,weight,"month_sin,Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DART 4,model_55,11,0.73,0.87,60.0,50.0,85.0,15.0,cover,"WindSpeed9am,Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DART 4,model_17,10,0.72,0.87,60.0,50.0,85.0,15.0,total_cover,"WindSpeed9am,WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DART 4,model_30,10,0.72,0.87,60.0,50.0,85.0,15.0,weight,"Rainfall,WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DART 4,model_43,10,0.73,0.87,60.0,50.0,85.0,15.0,gain,"WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DART 4,model_42,11,0.72,0.87,59.0,50.0,85.0,15.0,gain,"Cloud9am,WindSpeed3pm,Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DART 4,model_4,10,0.72,0.87,59.0,50.0,85.0,15.0,total_gain,"WindSpeed3pm,Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DART 4,model_56,10,0.72,0.87,59.0,50.0,85.0,15.0,cover,"Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DART 4,model_5,9,0.72,0.87,59.0,50.0,84.0,16.0,total_gain,"Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DART 4,model_18,9,0.72,0.87,59.0,49.0,85.0,15.0,total_cover,"WindSpeed3pm,Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DART 4,model_31,9,0.72,0.87,59.0,50.0,85.0,15.0,weight,"WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DART 4,model_44,9,0.72,0.87,59.0,50.0,85.0,15.0,gain,"Humidity9am,month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DART 4,model_57,9,0.72,0.87,59.0,49.0,85.0,15.0,cover,"Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DART 4,model_6,8,0.72,0.87,59.0,49.0,85.0,15.0,total_gain,"Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DART 4,model_19,8,0.72,0.87,59.0,49.0,84.0,16.0,total_cover,"Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DART 4,model_45,8,0.72,0.87,59.0,50.0,85.0,15.0,gain,"month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DART 4,model_46,7,0.72,0.87,59.0,49.0,84.0,16.0,gain,"MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DART 4,model_32,8,0.72,0.86,59.0,49.0,85.0,15.0,weight,"WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DART 4,model_58,8,0.71,0.86,58.0,48.0,84.0,16.0,cover,"MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DART 4,model_7,7,0.72,0.86,58.0,49.0,84.0,16.0,total_gain,"Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DART 4,model_20,7,0.72,0.86,58.0,48.0,84.0,16.0,total_cover,"Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DART 4,model_33,7,0.72,0.86,58.0,48.0,84.0,16.0,weight,"Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DART 4,model_8,6,0.72,0.86,58.0,48.0,84.0,16.0,total_gain,"Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DART 4,model_21,6,0.71,0.86,58.0,48.0,84.0,16.0,total_cover,"Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DART 4,model_34,6,0.72,0.86,58.0,49.0,84.0,16.0,weight,"WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DART 4,model_47,6,0.71,0.86,58.0,49.0,84.0,16.0,gain,"Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DART 4,model_9,5,0.71,0.86,57.0,48.0,84.0,16.0,total_gain,"MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DART 4,model_22,5,0.71,0.86,57.0,48.0,84.0,16.0,total_cover,"WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
